"","polity","realized_coup","type_of_coup","replicate","n","number"
"382",-8,0,"conspiracy",32,5,5
"383",-8,0,"conspiracy",33,5,5
"384",-8,0,"conspiracy",34,10,10
"385",-8,0,"conspiracy",35,9,9
"386",-8,0,"conspiracy",36,8,8
"387",-8,0,"conspiracy",37,7,7
"388",-8,0,"conspiracy",38,7,7
"389",-8,0,"conspiracy",39,6,6
"390",-8,0,"conspiracy",40,7,7
"391",-8,0,"conspiracy",41,10,10
"392",-8,0,"conspiracy",42,11,11
"393",-8,0,"conspiracy",43,10,10
"394",-8,0,"conspiracy",44,6,6
"395",-8,0,"conspiracy",45,5,5
"396",-8,0,"conspiracy",46,8,8
"397",-8,0,"conspiracy",47,7,7
"398",-8,0,"conspiracy",48,7,7
"399",-8,0,"conspiracy",49,5,5
"400",-8,0,"conspiracy",50,11,11
"401",-8,1,"coup",1,9,9
"402",-8,1,"coup",2,6,6
"403",-8,1,"coup",3,10,10
"404",-8,1,"coup",4,3,3
"405",-8,1,"coup",5,9,9
"406",-8,1,"coup",6,11,11
"407",-8,1,"coup",7,8,8
"408",-8,1,"coup",8,13,13
"409",-8,1,"coup",9,9,9
"410",-8,1,"coup",10,11,11
"411",-8,1,"coup",11,8,8
"412",-8,1,"coup",12,6,6
"413",-8,1,"coup",13,9,9
"414",-8,1,"coup",14,10,10
"415",-8,1,"coup",15,6,6
"416",-8,1,"coup",16,15,15
"417",-8,1,"coup",17,6,6
"418",-8,1,"coup",18,10,10
"419",-8,1,"coup",19,10,10
"420",-8,1,"coup",20,16,16
"421",-8,1,"coup",21,9,9
"422",-8,1,"coup",22,13,13
"423",-8,1,"coup",23,10,10
"424",-8,1,"coup",24,5,5
"425",-8,1,"coup",25,7,7
"426",-8,1,"coup",26,3,3
"427",-8,1,"coup",27,13,13
"428",-8,1,"coup",28,7,7
"429",-8,1,"coup",29,10,10
"430",-8,1,"coup",30,7,7
"431",-8,1,"coup",31,9,9
"432",-8,1,"coup",32,15,15
"433",-8,1,"coup",33,8,8
"434",-8,1,"coup",34,11,11
"435",-8,1,"coup",35,13,13
